name,region,population
Afghanistan,ASIA (EX. NEAR EAST),31056997
Albania,EASTERN EUROPE,3581655
Algeria,NORTHERN AFRICA,32930091
American Samoa,OCEANIA,57794
Andorra,WESTERN EUROPE,71201
Angola,SUB-SAHARAN AFRICA,12127071
Anguilla,LATIN AMER. & CARIB,13477
Antigua & Barbuda,LATIN AMER. & CARIB,69108
Argentina,LATIN AMER. & CARIB,39921833
Armenia,C.W. OF IND. STATES,2976372
Aruba,LATIN AMER. & CARIB,71891
Australia,OCEANIA,20264082
Austria,WESTERN EUROPE,8192880
Azerbaijan,C.W. OF IND. STATES,7961619
The Bahamas,LATIN AMER. & CARIB,303770
Bahrain,NEAR EAST,698585
Bangladesh,ASIA (EX. NEAR EAST),147365352
Barbados,LATIN AMER. & CARIB,279912
Belarus,C.W. OF IND. STATES,10293011
Belgium,WESTERN EUROPE,10379067
Belize,LATIN AMER. & CARIB,287730
Benin,SUB-SAHARAN AFRICA,7862944
Bermuda,NORTHERN AMERICA,65773
Bhutan,ASIA (EX. NEAR EAST),2279723
Bolivia,LATIN AMER. & CARIB,8989046
Bosnia and Herzegovina,EASTERN EUROPE,4498976
Botswana,SUB-SAHARAN AFRICA,1639833
Brazil,LATIN AMER. & CARIB,188078227
British Virgin Is.,LATIN AMER. & CARIB,23098
Brunei,ASIA (EX. NEAR EAST),379444
Bulgaria,EASTERN EUROPE,7385367
Burkina Faso,SUB-SAHARAN AFRICA,13902972
Burma,ASIA (EX. NEAR EAST),47382633
Burundi,SUB-SAHARAN AFRICA,8090068
Cambodia,ASIA (EX. NEAR EAST),13881427
Cameroon,SUB-SAHARAN AFRICA,17340702
Canada,NORTHERN AMERICA,33098932
Cape Verde,SUB-SAHARAN AFRICA,420979
Cayman Islands,LATIN AMER. & CARIB,45436
Central African Rep.,SUB-SAHARAN AFRICA,4303356
Chad,SUB-SAHARAN AFRICA,9944201
Chile,LATIN AMER. & CARIB,16134219
China,ASIA (EX. NEAR EAST),1313973713
Colombia,LATIN AMER. & CARIB,43593035
Comoros,SUB-SAHARAN AFRICA,690948
Democratic Republic of the Congo,SUB-SAHARAN AFRICA,66362865
Cook Islands,OCEANIA,21388
Costa Rica,LATIN AMER. & CARIB,4075261
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843
Croatia,EASTERN EUROPE,4494749
Cuba,LATIN AMER. & CARIB,11382820
Cyprus,NEAR EAST,784301
Czech Republic,EASTERN EUROPE,10235455
Denmark,WESTERN EUROPE,5450661
Djibouti,SUB-SAHARAN AFRICA,486530
Dominica,LATIN AMER. & CARIB,68910
